tick,neuron_0,neuron_1,neuron_2,neuron_3,neuron_4,neuron_5,neuron_6,neuron_7,neuron_8,neuron_9,neuron_10,neuron_11,neuron_12,neuron_13,neuron_14,neuron_15,neuron_16,neuron_17,neuron_18,neuron_19,neuron_20,neuron_21,neuron_22,neuron_23,neuron_24,neuron_25,neuron_26,neuron_27,neuron_28,neuron_29,norm_z,lambda1,omega
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
1,-0.23205844555088448,-0.2265964898603002,-0.23569213231021416,-0.20695126795956256,-0.2436797245057981,-0.202558872884198,0.015497197600402308,0.6751003215975566,1.4627474428450118,1.6653082962816848,1.747891244543955,1.7437300975708085,1.7245591092503387,1.7109173309101637,1.5580622496611842,0.9294800853608495,0.08723442703447147,-0.17537857517545297,-0.2187507675794402,-0.26456193503796327,-0.23652575333656664,-0.2386222138565106,-0.21819410526540609,-0.20881249978325264,-0.2316079428672772,-0.26907745356146884,-0.2508365444350401,-0.27785383816009285,-0.2685134899108136,-0.21638029981475337,4.6590574375318266,-0.001458568656275805,
2,-0.22512601239368205,-0.2338780680338684,-0.2414261985399409,-0.24840992780199075,-0.2226066696662404,-0.22120145112465317,-0.11297176634219758,0.3292138052485824,1.190277692367934,1.5877207508639117,1.6969890142723083,1.7523556058196337,1.7059143514845068,1.7057552714688335,1.6380615497069548,1.284357497282275,0.4236497622428128,-0.08020169144572648,-0.20666903259824054,-0.27084289774799014,-0.22746150786676414,-0.21886509043386737,-0.286593746837517,-0.23049390759167543,-0.22200020554534575,-0.2336298772936786,-0.27100426932812827,-0.2621334510044306,-0.23262387044114224,-0.22673885411183317,4.623217467472141,-0.0004284411392240228,
3,-0.24743015399058502,-0.21373390918739527,-0.2172254350417172,-0.2866680462519929,-0.1968000747113019,-0.19178558645863925,-0.168938297439518,-0.02026560126485183,0.6893422587085032,1.4274415050480664,1.693836345256616,1.7390704135011892,1.7590337503540323,1.7404578331423601,1.7160195349579805,1.563177805334641,0.9197290033137403,0.061716580398353205,-0.1586610422012319,-0.21511593540109533,-0.25202314880545384,-0.23530776991835828,-0.27804387481823495,-0.2220955298743286,-0.217784665154232,-0.27569476249378944,-0.23924833156245337,-0.23320570177732225,-0.2637516603827608,-0.23102710781198366,4.667256410921532,-0.005688512267071233,
4,-0.25633936883878866,-0.25917347053005924,-0.2281256108273198,-0.2084380006220426,-0.2519039644752693,-0.26409017266184326,-0.2175644426683843,-0.1428935375066132,0.3042781510708061,1.1869284288249293,1.6164593149404265,1.7207625066002523,1.7419917080358267,1.7284653996121042,1.6949086476283821,1.635279512984627,1.3524908683574077,0.4586985812567797,-0.07771494689501551,-0.17969595061124188,-0.23314657022896634,-0.21165785731269246,-0.24304933511156657,-0.2782714641822211,-0.24838925829477998,-0.21570799624910125,-0.2530335787107929,-0.23220597986537467,-0.2399522550325317,-0.2359297794249582,4.661190251392467,-0.009701322554316105,
5,-0.25133267429077105,-0.2533468937594808,-0.27281105312628273,-0.26757463379290075,-0.2711939939305278,-0.24343038130688874,-0.21366914780333218,-0.2125146282132371,-0.138282817329211,0.3771039359544057,1.25921901685177,1.5925677239246918,1.6800555428338442,1.7011802437126975,1.7038143835381936,1.72325877291935,1.6143253300001201,1.270343234818248,0.3324928242496821,-0.1363294695403276,-0.21850791677532425,-0.22842772717514462,-0.27337156767276366,-0.23716061444081302,-0.21156582385602923,-0.24687521781701743,-0.2552254856664647,-0.21253583881712482,-0.21685810649205903,-0.25019007253920117,4.612475957054467,-0.0018038231536461335,
6,-0.25771339278278693,-0.22029534152023317,-0.24260397779298257,-0.24211570042681307,-0.271503609949004,-0.22170400900734474,-0.21460693665559613,-0.23946083573856272,-0.19020551842646208,0.018989935034384904,0.8065821819223558,1.4593030949780506,1.6855342428947466,1.7154951711957072,1.7358996270654161,1.7278974314154445,1.6737429452775394,1.5664660509488608,0.8578582630095527,0.0786730653330767,-0.21781825458107712,-0.2502878259290341,-0.21574836756191607,-0.23305160712259257,-0.24493164472055767,-0.2583377092095478,-0.2555168734443327,-0.24466629174501697,-0.20389111633474508,-0.24651683630977653,4.64981786977533,-0.0031379740648582732,
7,-0.23314293782654996,-0.23034806110300401,-0.23068620377299776,-0.24462617829118186,-0.2574320288292392,-0.2345941327524895,-0.202145923654047,-0.24932960595709347,-0.20275351601741062,-0.0887639483485174,0.33519382278668447,1.2176836046011303,1.6107896294283268,1.6691156827903328,1.7361796364123414,1.7111220425888503,1.7217999084115454,1.613805050890022,1.3383037723313975,0.33903367392854356,-0.16402493046559777,-0.2533126327364007,-0.2243787215977265,-0.23547085249273297,-0.24694183870665715,-0.1920334352572488,-0.2355040999371852,-0.23831070175352312,-0.25044864690800134,-0.19911661553865906,4.625587790698523,-0.007776145135310886,
8,-0.25619768877525895,-0.24201348501754832,-0.2549441791915082,-0.23974805260100385,-0.24999504300736555,-0.2514043348241048,-0.1832078281370786,-0.19444880516578494,-0.10877015731884175,0.3469329378962096,1.2461409933847678,1.64311933910661,1.7076619245742537,1.749481586520585,1.7409028528562909,1.709043937905531,1.6188259356701822,1.2160509234467902,0.35896570171388364,-0.13916333982609436,-0.22711079839052453,-0.251203599386779,-0.19755991700983758,-0.2442266814560971,-0.2391067441999503,-0.24945644227487282,-0.2745371411904039,-0.24571279509736163,-0.20407148350730317,-0.2721955593016644,4.646382709714681,0.00270012021403776,
9,-0.27707229401279193,-0.2649673014986605,-0.19790649011533076,-0.27737013290674806,-0.15127817280784184,0.032208884337302575,0.7777959726356817,1.5094955796659688,1.6678334518426299,1.7016837524033295,1.7332729574797505,1.7507148883829124,1.680407802526443,1.5013268670368922,0.9104860148715072,0.08695299520275376,-0.17901561798783586,-0.21250581427113457,-0.25607557905954337,-0.22239704187189813,-0.23092461100249656,-0.2362744646482939,-0.25079345123376046,-0.2586321775169247,-0.2688486129657246,-0.22320499620474993,-0.22204128818217217,-0.22137363021626053,-0.20736027762088619,-0.2191573944239789,4.644792044473453,0.0007794526913973421,
