tick,sensory_map_0,sensory_map_1,sensory_map_2,sensory_map_3,sensory_map_4,sensory_map_5,sensory_map_6,sensory_map_7,sensory_map_8,sensory_map_9,sensory_map_10,sensory_map_11,sensory_map_12,sensory_map_13,sensory_map_14,sensory_map_15,sensory_map_16,sensory_map_17,sensory_map_18,sensory_map_19,sensory_map_20,sensory_map_21,sensory_map_22,sensory_map_23,sensory_map_24,sensory_map_25,sensory_map_26,sensory_map_27,sensory_map_28,sensory_map_29,channel
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,objects
1,-1.2316121734604824e-15,-6.187679462933078e-14,-3.848020641742664e-12,-2.465884292041023e-10,-1.364959934154652e-08,-5.560766940856815e-07,-1.446837566687243e-05,-0.0002112738795652636,-0.001503227633464077,-0.003747550194919787,0.007065485995667936,0.05169047239418476,0.08465609450654485,0.04890452120122311,0.006265880072561942,-0.0027905445390628766,-0.0009639724023792815,-0.00011582070906052137,-6.91788228421032e-06,-2.387445508046524e-07,-5.4299790999412756e-09,-9.394278229249131e-11,-1.4543532617186233e-12,-2.4076667055115746e-14,-5.10650613843092e-16,-1.5947508344061818e-17,-6.364614918958905e-19,-1.602807417303521e-20,-1.5214266731478262e-18,-3.569763222776361e-17,objects
2,-8.895120520814816e-17,-3.3259314664297975e-15,-1.7728014682694606e-13,-1.1268576535421576e-11,-7.101919656895676e-10,-3.728179678512262e-08,-1.392936769510121e-06,-3.224814573635408e-05,-0.00040928374681792237,-0.0025269812006020916,-0.006002109487772366,0.004886076983059932,0.04906994616054196,0.07639825863650732,0.03839703076990033,0.00208195676662699,-0.0029806157260942267,-0.0007886936095575409,-8.250416168121282e-05,-4.447139100240539e-06,-1.4200189504038155e-07,-3.0597359933187133e-09,-5.143527885875551e-11,-7.955541660339557e-13,-1.3557137288331612e-14,-3.048791524556277e-16,-1.0326181177264937e-17,-4.697670669372545e-19,-2.1179860866078184e-19,-3.79127963924782e-18,objects
3,-8.774852237759891e-18,-2.2073698789014242e-16,-8.974891743405774e-15,-5.041041569940786e-13,-3.248447070120054e-11,-1.9977963285238688e-09,-9.874868433826619e-08,-3.3621634832083726e-06,-6.892432295130236e-05,-0.0007596813879721512,-0.004110215151919175,-0.009522079311910379,0.00044652063607968865,0.044645615228777615,0.06726711825606052,0.02815055346886675,-0.0014401093630296083,-0.0030570238670471015,-0.0006538087053247228,-6.051016287132864e-05,-2.976303575039312e-06,-8.867552022035786e-08,-1.8222330262500053e-09,-2.992550857016186e-11,-4.644402585915448e-13,-8.173153884821269e-15,-1.9536064045337423e-16,-7.227001111173705e-18,-4.288098411904745e-19,-5.881907327669764e-19,objects
4,-1.2917428623824438e-18,-1.9661111952134855e-17,-5.441255581301952e-16,-2.397518208951385e-14,-1.407594360753926e-12,-9.120602286410498e-11,-5.4335567151015835e-09,-2.5130495592311525e-07,-7.758147375279675e-06,-0.00014038357494772775,-0.0013443728661041306,-0.0064227666243700035,-0.014516614725182463,-0.005992526133266824,0.03867748715895703,0.05671169390688701,0.018208372303058013,-0.0042857983364515745,-0.0030513894578107293,-0.0005507816305280227,-4.582847923310309e-05,-2.0781324032898246e-06,-5.819947146743068e-08,-1.1471982045325337e-09,-1.8491543992763493e-11,-2.8901518062684397e-13,-5.265124992608771e-15,-1.3399739729660033e-16,-5.4614779400916385e-18,-4.811574585772054e-19,objects
5,-6.204355981011503e-19,-2.5840302727277754e-18,-4.3032103732877056e-17,-1.3185444667576658e-15,-6.250827705692642e-14,-3.8027503207533584e-12,-2.4583314594154393e-10,-1.4096189126878524e-08,-6.07085582651585e-07,-1.693999437466764e-05,-0.0002702400309977431,-0.002250765226611281,-0.009521412809962953,-0.02069556065876347,-0.013633166783525025,0.03087985095763044,0.04425448289819045,0.008775768282833312,-0.006503870368442358,-0.0029967414739827344,-0.00047238690452007715,-3.585516174213669e-05,-1.5124125628997698e-06,-4.006717479946446e-08,-7.613596240261884e-10,-1.209402330503596e-11,-1.9093206816867175e-13,-3.6070009836545365e-15,-9.782958852912684e-17,-4.4332095578175336e-18,objects
6,-3.836225852651711e-18,-8.579957196925122e-19,-4.913313696215081e-18,-9.182290753246001e-17,-3.104156126332792e-15,-1.5690098078528141e-13,-9.805553326908077e-12,-6.279726618945844e-10,-3.447874668515502e-08,-1.3783808066453665e-06,-3.472873582477116e-05,-0.0004887502404370983,-0.0035422152791039704,-0.01321581101925732,-0.027082081119038568,-0.02153665884789594,0.020306832885641148,0.029568087027355104,2.066133880047417e-05,-0.008195508627069352,-0.0029201751213915918,-0.0004128909371890644,-2.895127636684602e-05,-1.1448286024462007e-06,-2.884838343903884e-08,-5.307465664026969e-10,-8.337070439206472e-12,-1.332664535161928e-13,-2.6133436034656246e-15,-7.553455867150121e-17,objects
7,-6.110384228285421e-17,-3.498128759745874e-18,-1.2163004113104172e-18,-8.994855159236457e-18,-1.8953353479775815e-16,-7.008881833335511e-15,-3.740633353780241e-13,-2.3819923799264555e-11,-1.5021250175185177e-09,-7.867670521300701e-08,-2.916158417235839e-06,-6.642807960717053e-05,-0.000826988101035957,-0.005214892653401281,-0.0169532692446363,-0.031981991866578734,-0.02876729556602408,0.005833371651339538,0.01252449626782377,-0.007998123177193481,-0.009465370228720288,-0.0028340018757978132,-0.0003668903552079084,-2.4018447907079146e-05,-8.963577762539661e-07,-2.158835534903711e-08,-3.860094187886048e-10,-6.013757261181608e-12,-9.751027207799226e-14,-1.985504164601487e-15,objects
8,-1.572506699849052e-15,-5.144038279550731e-17,-3.3295447673748613e-18,-1.7293600917265284e-18,-1.5895072399412688e-17,-3.7530190107867845e-16,-1.5019438084395598e-14,-8.38386456635597e-13,-5.400301044415517e-11,-3.3369096272004622e-09,-1.663511540916751e-07,-5.720542328093688e-06,-0.00011824728350991358,-0.0013089540602713226,-0.007180100622528631,-0.019873075337743094,-0.03324471107523518,-0.034428718429441604,-0.013673270723551605,-0.007207987862757632,-0.015461161522451998,-0.010432210840614058,-0.0027474207092433598,-0.000330859112047822,-2.0408898327571647e-05,-7.233086495804473e-07,-1.6726806947041068e-08,-2.9169757000960643e-10,-4.51852449718235e-12,-7.44101250596054e-14,objects
9,-5.837852952798813e-14,-1.279537435233722e-15,-4.442910494438431e-17,-3.2564538014514116e-18,-2.4309905768512327e-18,-2.6980099940442432e-17,-7.055639701397797e-16,-3.022022790806427e-14,-1.7490660677777192e-12,-1.1324606240942696e-10,-6.830520002661151e-09,-3.2378317545797635e-07,-1.0354783329092822e-05,-0.00019538322449791452,-0.0019388353597823624,-0.009269621959226286,-0.021057286942510498,-0.028776887735413946,-0.03705138882954205,-0.038103526194999814,-0.029784672385691473,-0.022631372541549188,-0.011159891026356155,-0.0026489897938225663,-0.000299874686693901,-1.7552627944404798e-05,-5.939093298098421e-07,-1.3242243817903744e-08,-2.2594552562774776e-10,-3.4875381087491992e-12,objects
