tick,perception_0,perception_1,perception_2,perception_3,perception_4,perception_5,perception_6,perception_7,perception_8,perception_9,perception_10,perception_11,perception_12,perception_13,perception_14,perception_15,perception_16,perception_17,perception_18,perception_19,perception_20,perception_21,perception_22,perception_23,perception_24,perception_25,perception_26,perception_27,perception_28,perception_29,channel
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,objects
1,-40.045234571656735,-11.440211380799289,-1.4841501141820268,-0.25359167452587783,-0.20078175263128903,-0.20000391002579382,-0.20000000664279585,-0.200000000003813,-0.20000000000000076,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.200000000000005,-0.20000000002058868,-0.20000002854268079,-0.20001338347037131,-0.20213493953644845,-0.3171062065199563,-2.458924506010801,-16.333530866152888,-48.2965841224548,-77.9389314818524,-100.04528064729506,-110.00210908402423,-94.33057211260962,-71.73407269847162,objects
2,-66.34024491555108,-34.0146768045562,-8.537974230972665,-1.0130706167844163,-0.22865228615278263,-0.20035125510264953,-0.20000147320754874,-0.20000000209628607,-0.20000000000100707,-0.20000000000000018,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2000000000000331,-0.2000000001079325,-0.2000001187014698,-0.20004419816376615,-0.205607533384164,-0.4453612987969719,-3.9999376810607172,-22.315324231311184,-55.86613921216225,-82.45585462013024,-103.34398375992069,-107.18759155038128,-88.92841108967596,objects
3,-84.06585729757934,-61.20771035819716,-28.73994228063892,-6.373493464063098,-0.7173430332170421,-0.21552451339699813,-0.2001614207988086,-0.20000057314614286,-0.20000000068972645,-0.20000000000028006,-0.20000000000000004,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.20000000000000004,-0.20000000000020132,-0.20000000052268585,-0.20000045799829294,-0.20013600744066876,-0.2137846075944111,-0.6834023477042952,-6.243437599659598,-29.074353150123653,-62.44122652959098,-86.24279197234956,-105.45691605662144,-103.207142394541,objects
4,-98.73746389181525,-79.77688535458707,-56.388364329099815,-24.231816506069197,-4.780019190473557,-0.5321937886294432,-0.20856163942199732,-0.20007620275553456,-0.20000023123807797,-0.20000000023762013,-0.20000000000008236,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2000000000000002,-0.20000000000111742,-0.20000000232277923,-0.200001630675588,-0.20038836198157284,-0.23162262158615815,-1.0941176643928219,-9.285176970097499,-36.168719381051744,-67.759072088288,-89.42388885920455,-106.26486010189201,objects
5,-105.9157205412559,-94.29670875541565,-76.0127083053648,-51.93715281625394,-20.43986085671262,-3.6141116151083796,-0.41584437340892344,-0.20481754270730196,-0.20003702822316527,-0.20000009690107248,-0.20000000008581237,-0.20000000000002563,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.20000000000000115,-0.20000000000562157,-0.20000000941971743,-0.2000053343061237,-0.201025819516531,-0.2675723295028162,-1.751710870115483,-13.121441480638627,-43.07820913433817,-71.78051262786522,-92.04579618201024,objects
6,-94.11276130841557,-104.73480513763488,-90.19587189749889,-72.71543099715093,-47.88637782787485,-17.28113834673314,-2.761771760417041,-0.34211558158158417,-0.20276814643879187,-0.2000185232868447,-0.20000004215333034,-0.2000000000324423,-0.20000000000000842,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.20000000000000634,-0.20000000002551396,-0.20000003473417108,-0.20001599115190813,-0.2025027358956969,-0.33444093599237246,-2.728652941178039,-17.625209789072915,-49.32555377878945,-74.63380236198786,objects
7,-76.53247201259515,-95.63564132653948,-103.09913756941067,-86.5934724336142,-69.83992587328095,-44.23007501055479,-14.655791532950396,-2.1353964134483094,-0.29476514365073214,-0.20162166148223765,-0.2000095139548795,-0.20000001896301522,-0.20000000001277607,-0.2000000000000029,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.20000000000003149,-0.20000000010414754,-0.20000011620884697,-0.2000438792049929,-0.205638609109971,-0.44924076275337865,-4.07654103894745,-22.555603952350925,-54.57785724787288,objects
8,-58.70152820446498,-77.70960425331394,-96.63981448236615,-101.33956744266185,-83.56969812661794,-67.3470139332675,-40.92429059674857,-12.461863700497446,-1.6700815839296457,-0.2638245686425076,-0.20096459070770753,-0.20000498900545394,-0.2000000087586815,-0.20000000000519524,-0.20000000000000104,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.20000000000000004,-0.2000000000001395,-0.20000000038180782,-0.20000035254273776,-0.2001102300038537,-0.21174328446825175,-0.6313772526028754,-5.807166535586446,-27.604572721332026,objects
9,-32.46667655609274,-61.76378173330031,-78.39565543008054,-97.15329171181645,-99.68655217014573,-81.176869819942,-65.18852449180619,-37.88518886932838,-10.600023012519598,-1.3183427635538114,-0.24316971924466443,-0.20057808120486292,-0.2000026450564246,-0.20000000410467883,-0.20000000000215118,-0.2000000000000004,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2000000000000001,-0.2000000000005499,-0.20000000125761885,-0.20000097082098667,-0.20025395255309583,-0.22266247541375978,-0.8991817707395855,-7.882465180882758,objects
