tick,target_metadata,modulated_target_qualities
0,[],[]
1,"[{""id"": ""static_0.s#0"", ""angle"": -0.6494343117802124, ""distance"": 1.2002450096037767, ""intensity"": 1}]",[1.0]
2,"[{""id"": ""static_0.s#0"", ""angle"": -0.47858782714166365, ""distance"": 1.1930352111263578, ""intensity"": 1}]",[1.0]
3,"[{""id"": ""static_0.s#0"", ""angle"": -0.30667053635301295, ""distance"": 1.1851830924311337, ""intensity"": 1}]",[1.0]
4,"[{""id"": ""static_0.s#0"", ""angle"": -0.13358382449059403, ""distance"": 1.1769149581212028, ""intensity"": 1}]",[1.0]
5,"[{""id"": ""static_0.s#0"", ""angle"": 0.04073989193889736, ""distance"": 1.16848477813286, ""intensity"": 1}]",[1.0]
6,"[{""id"": ""static_0.s#0"", ""angle"": 0.21633638747436043, ""distance"": 1.1601337286348241, ""intensity"": 1}]",[1.0]
7,"[{""id"": ""static_0.s#0"", ""angle"": 0.3932006360992926, ""distance"": 1.1521134786139398, ""intensity"": 1}]",[1.0]
8,"[{""id"": ""static_0.s#0"", ""angle"": 0.5712857151328237, ""distance"": 1.1446812355223759, ""intensity"": 1}]",[1.0]
9,"[{""id"": ""static_0.s#0"", ""angle"": 0.7504851637258001, ""distance"": 1.1381158546006247, ""intensity"": 1}]",[1.0]
10,"[{""id"": ""static_0.s#0"", ""angle"": 0.9306741966749876, ""distance"": 1.1326011546242307, ""intensity"": 1}]",[1.0]
11,"[{""id"": ""static_0.s#0"", ""angle"": 1.1116948500007187, ""distance"": 1.1283088259726903, ""intensity"": 1}]",[1.0]
12,"[{""id"": ""static_0.s#0"", ""angle"": 1.2932767148642432, ""distance"": 1.1254202188251041, ""intensity"": 1}]",[1.0]
13,"[{""id"": ""static_0.s#0"", ""angle"": 1.4752425860787504, ""distance"": 1.1240021967175378, ""intensity"": 1}]",[1.0]
14,"[{""id"": ""static_0.s#0"", ""angle"": 1.657286075157415, ""distance"": 1.124112193358826, ""intensity"": 1}]",[1.0]
15,"[{""id"": ""static_0.s#0"", ""angle"": 1.8392293286188754, ""distance"": 1.1257463834413093, ""intensity"": 1}]",[1.0]
16,"[{""id"": ""static_0.s#0"", ""angle"": 2.0207634469406703, ""distance"": 1.1288467264425488, ""intensity"": 1}]",[1.0]
17,"[{""id"": ""static_0.s#0"", ""angle"": 2.20166205679161, ""distance"": 1.1333106638309662, ""intensity"": 1}]",[1.0]
18,"[{""id"": ""static_0.s#0"", ""angle"": 2.3817174285407017, ""distance"": 1.1389860078511471, ""intensity"": 1}]",[1.0]
19,"[{""id"": ""static_0.s#0"", ""angle"": 2.5607829867562093, ""distance"": 1.14571446188817, ""intensity"": 1}]",[1.0]
20,"[{""id"": ""static_0.s#0"", ""angle"": 2.738692736503686, ""distance"": 1.1532263784663066, ""intensity"": 1}]",[1.0]
21,"[{""id"": ""static_0.s#0"", ""angle"": 2.915375513920721, ""distance"": 1.1613035191222918, ""intensity"": 1}]",[1.0]
22,"[{""id"": ""static_0.s#0"", ""angle"": 3.090789642751747, ""distance"": 1.169684468260796, ""intensity"": 1}]",[1.0]
23,"[{""id"": ""static_0.s#0"", ""angle"": -3.0204578723708426, ""distance"": 1.1751585485337872, ""intensity"": 1}]",[1.0]
24,"[{""id"": ""static_0.s#0"", ""angle"": -2.850314649728868, ""distance"": 1.17965442984978, ""intensity"": 1}]",[1.0]
25,"[{""id"": ""static_0.s#0"", ""angle"": -2.68061261513095, ""distance"": 1.184668793141308, ""intensity"": 1}]",[1.0]
26,"[{""id"": ""static_0.s#0"", ""angle"": -2.5112252900659624, ""distance"": 1.1900878384955713, ""intensity"": 1}]",[1.0]
27,"[{""id"": ""static_0.s#0"", ""angle"": -2.341923966146583, ""distance"": 1.1956813873243128, ""intensity"": 1}]",[1.0]
28,"[{""id"": ""static_0.s#0"", ""angle"": -2.1729511419015366, ""distance"": 1.2009222195504894, ""intensity"": 1}]",[1.0]
29,"[{""id"": ""static_0.s#0"", ""angle"": -2.00459769896058, ""distance"": 1.2049649214632303, ""intensity"": 1}]",[1.0]
30,"[{""id"": ""static_0.s#0"", ""angle"": -1.8367259672215195, ""distance"": 1.2077245457145096, ""intensity"": 1}]",[1.0]
31,"[{""id"": ""static_0.s#0"", ""angle"": -1.6691374578401694, ""distance"": 1.2091136068809853, ""intensity"": 1}]",[1.0]
32,"[{""id"": ""static_0.s#0"", ""angle"": -1.5016449307430508, ""distance"": 1.2090865173696015, ""intensity"": 1}]",[1.0]
33,"[{""id"": ""static_0.s#0"", ""angle"": -1.334063671413234, ""distance"": 1.2076492255421054, ""intensity"": 1}]",[1.0]
34,"[{""id"": ""static_0.s#0"", ""angle"": -1.1661910336123353, ""distance"": 1.2048393172336216, ""intensity"": 1}]",[1.0]
35,"[{""id"": ""static_0.s#0"", ""angle"": -0.997858979915461, ""distance"": 1.2007269952604844, ""intensity"": 1}]",[1.0]
36,"[{""id"": ""static_0.s#0"", ""angle"": -0.8288822879009328, ""distance"": 1.1954311949391272, ""intensity"": 1}]",[1.0]
37,"[{""id"": ""static_0.s#0"", ""angle"": -0.6590980706358721, ""distance"": 1.189093646243403, ""intensity"": 1}]",[1.0]
38,"[{""id"": ""static_0.s#0"", ""angle"": -0.488375198096635, ""distance"": 1.1818712414971708, ""intensity"": 1}]",[1.0]
39,"[{""id"": ""static_0.s#0"", ""angle"": -0.3165541400596011, ""distance"": 1.1740375169391981, ""intensity"": 1}]",[1.0]
40,"[{""id"": ""static_0.s#0"", ""angle"": -0.143553059098233, ""distance"": 1.1657965061065756, ""intensity"": 1}]",[1.0]
41,"[{""id"": ""static_0.s#0"", ""angle"": 0.030695787174508216, ""distance"": 1.1573912647778544, ""intensity"": 1}]",[1.0]
42,"[{""id"": ""static_0.s#0"", ""angle"": 0.20622889769513725, ""distance"": 1.1490038452697156, ""intensity"": 1}]",[1.0]
43,"[{""id"": ""static_0.s#0"", ""angle"": 0.37683767618588293, ""distance"": 1.1409253539924054, ""intensity"": 1}]",[1.0]
44,"[{""id"": ""static_0.s#0"", ""angle"": 0.23956039577926935, ""distance"": 1.132896387211516, ""intensity"": 1}]",[1.0]
45,"[{""id"": ""static_0.s#0"", ""angle"": 0.41662235840919465, ""distance"": 1.1250208653854288, ""intensity"": 1}]",[1.0]
46,"[{""id"": ""static_0.s#0"", ""angle"": 0.5949295330595902, ""distance"": 1.1177339850121208, ""intensity"": 1}]",[1.0]
47,"[{""id"": ""static_0.s#0"", ""angle"": 0.7743864602721415, ""distance"": 1.1112889707679754, ""intensity"": 1}]",[1.0]
48,"[{""id"": ""static_0.s#0"", ""angle"": 0.9548285041051066, ""distance"": 1.1059332880564956, ""intensity"": 1}]",[1.0]
49,"[{""id"": ""static_0.s#0"", ""angle"": 1.1360878239990062, ""distance"": 1.1018274789218556, ""intensity"": 1}]",[1.0]
50,"[{""id"": ""static_0.s#0"", ""angle"": 1.3179342469261264, ""distance"": 1.0991226630414357, ""intensity"": 1}]",[1.0]
51,"[{""id"": ""static_0.s#0"", ""angle"": 1.5000826334749033, ""distance"": 1.0979158096814337, ""intensity"": 1}]",[1.0]
52,"[{""id"": ""static_0.s#0"", ""angle"": 1.682330426110394, ""distance"": 1.0982366793939822, ""intensity"": 1}]",[1.0]
53,"[{""id"": ""static_0.s#0"", ""angle"": 1.8644314661444017, ""distance"": 1.1000821107409995, ""intensity"": 1}]",[1.0]
